Genus,Species,Tmax,max_metric,Phylum,Class,Order,Family
Prochilodus,scrofa,35.7,ctmax,Chordata,Actinopteri,Characiformes,Prochilodontidae
Lepomis,gibbosus,35.1,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Cyprinodon,variegatus,44.2,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae
Oncorhynchus,keta,23.2,LT50,Chordata,Actinopteri,Salmoniformes,Salmonidae
Oncorhynchus,nerka,21.5,LT50,Chordata,Actinopteri,Salmoniformes,Salmonidae
Oncorhynchus,kisutch,27.5,LT50,Chordata,Actinopteri,Salmoniformes,Salmonidae
Oncorhynchus,tshawytscha,28,LT50,Chordata,Actinopteri,Salmoniformes,Salmonidae
Cyprinodon,dearborni,35.7,LT50,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae
Rivulus,marmoratus,35.7,LT50,Chordata,Actinopteri,Cyprinodontiformes,Rivulidae
Fundulus,heteroclitus,40.5,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae
Poeciliopsis,occidentalis,38.4,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae
Rhinichthys,osculus,34.4,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Agosia,chrysogaster,38.2,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Catostomus,clarkii,35.1,ctmax,Chordata,Actinopteri,Cypriniformes,Catostomidae
Cyprinodon,macularius,40,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae
Gila,elegans,37.2,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Gila,intermedia,37,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Gila,robusta,36.6,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Meda,fulgida,34.7,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Rhinichthys,cobitis,35.3,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Xyrauchen,texanus,36.7,ctmax,Chordata,Actinopteri,Cypriniformes,Catostomidae
Catostomus,snyderi,32.6,ctmax,Chordata,Actinopteri,Cypriniformes,Catostomidae
Chasmistes,brevirostris,32.7,ctmax,Chordata,Actinopteri,Cypriniformes,Catostomidae
Gila,coerulea,31.5,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Lepomis,cyanellus,36.2,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Girella,nigricans,34.5,LT50,Chordata,Actinopteri,Perciformes,Kyphosidae
Atherinops,affinis,33.4,LT50,Chordata,Actinopteri,Atheriniformes,Atherinopsidae
Fundulus,parvipinnis,36.1,LT50,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae
Salmo,salar,31,ctmax,Chordata,Actinopteri,Salmoniformes,Salmonidae
Apogon,novemfasciatus,40.1,ctmax,Chordata,Actinopteri,Kurtiformes,Apogonidae
Bathygobius,fuscus,42.4,ctmax,Chordata,Actinopteri,Perciformes,Gobiidae
Bathygobius,sp.1,43,ctmax,Chordata,Actinopteri,Perciformes,Gobiidae
Dascyllus,aruanus,40.5,ctmax,Chordata,Actinopteri,Perciformes,Pomacentridae
Ellochelon,vaigiensis,44.5,ctmax,Chordata,Actinopteri,Mugiliformes,Mugilidae
Gasterosteus,aculeatus,34.6,ctmax,Chordata,Actinopteri,Perciformes,Gasterosteidae
Cyprinodon,nevadensis_amargosae,42.5,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae
Tautogolabrus,adspersus,30,LT50,Chordata,Actinopteri,Perciformes,Labridae
Oncorhynchus,clarkii,29.9,ctmax,Chordata,Actinopteri,Salmoniformes,Salmonidae
Cyprinodon,artifrons,43.7,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae
Floridichthys,carpio,42.2,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae
Gambusia,yucatana,42.2,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae
Poecilia,sphenops,43,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae
Notropis,pilsbryi,32.3,LT50,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Cyprinella,spiloptera ,31.8,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Luxilus,chrysocephalus,30.8,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Pimephales,notatus,31.3,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Menidia,menidia,32.5,LT50,Chordata,Actinopteri,Atheriniformes,Atherinopsidae
Pseudopleuronectes,americanus,29.1,LT50,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae
Sphoeroides,maculatus,32.5,LT50,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae
Cottus,bairdi,30.9,ctmax,Chordata,Actinopteri,Perciformes,Cottidae
Etheostoma,blennioides,32.2,ctmax,Chordata,Actinopteri,Perciformes,Percidae
Hypentelium,nigricans,30.8,ctmax,Chordata,Actinopteri,Cypriniformes,Catostomidae
Rhinichthys,atratulus,31.9,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Rhinichthys,cataractae,31.4,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Oncorhynchus,apache,29.4,ctmax,Chordata,Actinopteri,Salmoniformes,Salmonidae
Oncorhynchus,gilae,29.6,ctmax,Chordata,Actinopteri,Salmoniformes,Salmonidae
Salmo,trutta,29.8,ctmax,Chordata,Actinopteri,Salmoniformes,Salmonidae
Salvelinus,fontinalis,29.8,ctmax,Chordata,Actinopteri,Salmoniformes,Salmonidae
Campostoma,anomalum,29.8,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Cyprinella,lutrensis,30.7,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Etheostoma,spectabile,29.8,ctmax,Chordata,Actinopteri,Perciformes,Percidae
Gambusia,affinis,36.88,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae
Hybognathus,placitus,28.37,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Hybopsis,amblops,30.1,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Ictalurus,punctatus,31.32,ctmax,Chordata,Actinopteri,Siluriformes,Ictaluridae
Ictiobus,bubalus,29.5,ctmax,Chordata,Actinopteri,Cypriniformes,Catostomidae
Lepomis,gulosus,28.98,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Lepomis,macrochirus,30.38,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Lepomis,megalotis,30.87,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Lepomis,microlophus,30.8,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Menidia,beryllina,29.24,ctmax,Chordata,Actinopteri,Atheriniformes,Atherinopsidae
Micropterus,dolomieu,28.3,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Micropterus,punctulatus,30.76,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Micropterus,salmoides,30.69,ctmax,Chordata,Actinopteri,Perciformes,Centrarchidae
Notemigonus,crysoleucas,29.13,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Notropis,atherinoides,30.1,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Phenacobius,mirabilis,30.45,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Dicentrarchus,labrax,33.3,ctmax,Chordata,Actinopteri,Perciformes,Moronidae
Diplodus,sargus,33.8,ctmax,Chordata,Actinopteri,Spariformes,Sparidae
Diplodus,vulgaris,31.1,ctmax,Chordata,Actinopteri,Spariformes,Sparidae
Gobius,niger,34.1,ctmax,Chordata,Actinopteri,Perciformes,Gobiidae
Liza,ramada,38,ctmax,Chordata,Actinopteri,Mugiliformes,Mugilidae
Diplodus,bellottii,27.38,ctmax,Chordata,Actinopteri,Spariformes,Sparidae
Gobius,cobitis,33.7,ctmax,Chordata,Actinopteri,Perciformes,Gobiidae
Lipophrys,trigloides,33.8,ctmax,Chordata,Actinopteri,Perciformes,Blenniidae
Pegusa,lascaris,32.9,ctmax,Chordata,Actinopteri,Pleuronectiformes,Soleidae
Notropis,girardi,38.6,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Gila,bicolor_mohavensis,34.9,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Notropis,cummingsae,29,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Notropis,lutipinnis,30,ctmax,Chordata,Actinopteri,Cypriniformes,Cyprinidae
Gambusia,holbrooki,39.8,ctmax,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae
Apogon,dovii,35.9,ctmax,Chordata,Actinopteri,Kurtiformes,Apogonidae
Apogon,pacifici,34.7,ctmax,Chordata,Actinopteri,Kurtiformes,Apogonidae
