"Name","Region","PlantFK","UserSuggestedName","PhotoURL","InferredName","NameConfidence","Notes","New","InferredSciName"
"ABQ BioPark Botanical Garden","NM",6107,"Russian olive, Russian olive, Russian olive, New mexico olive, New mexico olive, New mexico olive",NA,NA,"1",NA,"N",NA
"ABQ BioPark Botanical Garden","NM",6108,"Cottonwood and poplar spp., Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",NA,NA,"1",NA,"N",NA
"ABQ BioPark Botanical Garden","NM",6109,"Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",NA,"Siberian elm","3",NA,"N","Ulmus pumila"
"ABQ BioPark Botanical Garden","NM",6110,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",NA,"Russian olive","3",NA,"N","Elaeagnus angustifolia"
"ABQ BioPark Botanical Garden","NM",6111,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",NA,"Russian olive","3",NA,"N","Elaeagnus angustifolia"
"ABQ BioPark Botanical Garden","NM",6112,"Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",NA,"Siberian elm","3",NA,"N","Ulmus pumila"
"ABQ BioPark Botanical Garden","NM",6113,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",NA,"Russian olive","3",NA,"N","Elaeagnus angustifolia"
"ABQ BioPark Botanical Garden","NM",6114,"Russian olive, Russian olive, Fragrant sumac, Fragrant sumac, Fragrant sumac, Siberian elm, Fragrant sumac, Fragrant sumac, Fragrant sumac",NA,NA,"1",NA,"N",NA
"ABQ BioPark Botanical Garden","NM",6115,"Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Russian olive, Russian olive",NA,"Cottonwood and poplar spp.","3",NA,"N","Populus"
"ABQ BioPark Botanical Garden","NM",6116,"Russian olive, Russian olive, Russian olive, Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp.",NA,NA,"1",NA,"N",NA
"BHRC - Hemlock Draw","WI",5994,"Red maple, Red maple, Red maple, Red maple, Red maple","89160.jpeg, 92464.jpeg, 106916.jpeg, 106917.jpeg, 106918.jpeg, 106919.jpeg, 106920.jpeg","Red maple","3",NA,"N","Acer rubrum"
"BHRC - Hemlock Draw","WI",5998,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam","90868.jpeg, 90869.jpeg, 92466.jpeg, 106886.jpeg","Eastern hophornbeam","3",NA,"N","Ostrya virginiana"
"BHRC - Hemlock Draw","WI",5999,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, White ash, Black cherry","101773.jpeg, 110263.jpeg",NA,"1","Based on photo 101773 and earlier submissions, this branch was Eastern hophornbeam in 2021, then changed to Green ash for 2022 (photo 110263) but they never checked the 'moving location' box; the last survey done in 2022 was identified as Black cherry but there is no photo to confirm, but it is possible they moved it again without checking the box","N",NA
"BHRC - Hemlock Draw","WI",6000,"Bitternut hickory, Bitternut hickory, Bitternut hickory","90864.jpeg","Bitternut hickory","3",NA,"N","Carya cordiformis"
"BHRC - Hemlock Draw","WI",6001,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam","90861.jpeg, 90862.jpeg, 106891.jpeg, 106892.jpeg","Eastern hophornbeam","3",NA,"N","Ostrya virginiana"
"Bickford Park Caterpillars Count","ON",7652,"Norway maple, Norway maple, Norway maple, Norway maple, Norway maple, Norway maple",NA,NA,NA,NA,"N",NA
"Bickford Park Caterpillars Count","ON",7654,"Norway maple, Norway maple, Norway maple, Norway maple, Norway maple, Norway maple",NA,NA,NA,NA,"N",NA
"Bickford Park Caterpillars Count","ON",7655,"Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut, Walnut spp., Ohio buckeye",NA,NA,NA,NA,"N",NA
"Botany Bay Heritage Preserve","SC",5061,"Devil’s walking stick, Devil’s walking stick, Yaupon",NA,NA,"1",NA,"N",NA
"Botany Bay Heritage Preserve","SC",5072,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam",NA,"Eastern hophornbeam","3",NA,"N","Ostrya virginiana"
"Botany Bay Heritage Preserve","SC",5073,"Flowering dogwood, Flowering dogwood, Flowering dogwood, Flowering dogwood",NA,"Flowering dogwood","3",NA,"N","Cornus florida"
"Botany Bay Heritage Preserve","SC",5074,"American holly, American holly, American holly",NA,"American holly","3",NA,"N","Ilex opaca"
"Botany Bay Heritage Preserve","SC",5075,"Sweetgum, Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N","Liquidambar styraciflua"
"Botany Bay Heritage Preserve","SC",5076,"Sweetgum, Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N","Liquidambar styraciflua"
"Botany Bay Heritage Preserve","SC",5174,"Dogwood spp., Dogwood spp.",NA,"Dogwood spp.","3",NA,"N","Cornus"
"Botany Bay Heritage Preserve","SC",5175,"Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N","Liquidambar styraciflua"
"Botany Bay Heritage Preserve","SC",5176,"Sweetgum, Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N","Liquidambar styraciflua"
