"Rank","Taxon","nofCount","Prop_count","nSite","prop_site_p","prop_site_pa","Taxa_score","cum_Taxa_score","cum_Taxa_score_rel","Group","Taxa_score_rel.100"
"genus","Camponotus",202,0.263363754889179,34,0.62962962962963,0.306306306306306,0.0806699789750637,0.0806699789750637,0.456193955496513,"Ant",48.5233856153737
"genus","Formica",146,0.190352020860495,16,0.296296296296296,0.144144144144144,0.0274381291330444,0.108108108108108,0.611358352706742,"Ant",16.5041684329518
"genus","Crematogaster",104,0.135593220338983,19,0.351851851851852,0.171171171171171,0.0232096503282944,0.131317758436403,0.742610428429093,"Ant",13.9607178182846
"genus","Myrmentoma",94,0.122555410691004,21,0.388888888888889,0.189189189189189,0.0231861587793791,0.154503917215782,0.873729657920956,"Ant",13.946587537092
"genus","Myrmica",46,0.059973924380704,11,0.203703703703704,0.0990990990990991,0.00594336187556527,0.160447279091347,0.907339754234474,"Ant",3.57496114172672
"genus","Lasius",38,0.0495436766623207,13,0.240740740740741,0.117117117117117,0.0058024125820736,0.16624969167342,0.940152773165062,"Ant",3.49017945457115
"genus","Acronicta",130,0.179558011049724,24,0.338028169014085,0.216216216216216,0.0388233537404808,0.0388233537404808,0.357183743560389,"Caterpillar",37.6584188292094
"genus","Lymantria",93,0.128453038674033,24,0.338028169014085,0.216216216216216,0.0277736299835747,0.0665969837240556,0.612707498568976,"Caterpillar",26.9402534701267
"genus","Halysidota",77,0.106353591160221,14,0.197183098591549,0.126126126126126,0.0134139664526405,0.080010950176696,0.736119061247854,"Caterpillar",13.0114665057333
"genus","Morrisonia",36,0.0497237569060773,20,0.28169014084507,0.18018018018018,0.00895923547857249,0.0889701856552685,0.818546078992559,"Caterpillar",8.69040434520217
"genus","Cecrita",36,0.0497237569060773,10,0.140845070422535,0.0900900900900901,0.00447961773928625,0.0934498033945548,0.859759587864911,"Caterpillar",4.34520217260108
"genus","Orgyia",22,0.0303867403314917,11,0.154929577464789,0.0990990990990991,0.00301129859140909,0.0964611019859639,0.887464224384659,"Caterpillar",2.92094146047073
"genus","Hyphantria",27,0.037292817679558,7,0.0985915492957746,0.0630630630630631,0.00235179931312528,0.0988129012990892,0.909101316542645,"Caterpillar",2.28123114061557
"genus","Epimecis",19,0.0262430939226519,3,0.0422535211267606,0.027027027027027,0.000709272808720323,0.0995221741078095,0.915626788780767,"Caterpillar",0.687990343995172
